hanzi_simplified,hanzi_traditional,pinyin,meaning,mnemonic_simplified,mnemonic_traditional,hsk
吧,吧,ba,sugerencia,A través de mi BOCA expreso mis DESEOS y SUGERENCIAS.,A través de mi BOCA expreso mis DESEOS y SUGERENCIAS.,1
话,話,huà,,,,1
钱,錢,qián,,,,1
开,開,kāi,abrir,Con UNA o con las DOS MANOS ABRIMOS lo que sea.,Con UNA o con las DOS MANOS ABRIMOS lo que sea.,1
岁,歲,suì,,,,1
吃,吃,chī,,,,1
身,身,shēn,,,,1
重,重,zhòng,,,,1
爱,愛,ài,amor,Cuando nuestro GALLINERO está lleno de AMISTAD también estará lleno de AMOR.,Se nota en nuestras PIERNAS ANDANTES y en nuestro CORAZÓN cuando nuestro GALLINERO está lleno de AMOR.,1
国,國,guó,,,,1
买,買,mǎi,,,,1
号,號,hào,,,,1
喜,喜,xǐ,,,,1
欢,驩讙歡,huān,,,,1
怎,怎,zěn,,,,1
分,分,fēn,,,,1
谁,誰,shuí,quién,"Aquellas PALABRAS que este PÁJARO se está diciendo a sí mismo todo el día son: ""¿QUIÉN soy?","Aquellas PALABRAS que este PÁJARO se está diciendo a sí mismo todo el día son: ""¿QUIÉN soy?",1
告,告,gào,,,,1
诉,訴,sù,,,,1
样,樣,yàng,,,,1
方,方,fāng,,,,1
十,十,shí,diez,"En la escritura china y japonesa, el número DIEZ se representa con un trazo horizontal y otro vertical, en forma de cruz.","En la escritura china y japonesa, el número DIEZ se representa con un trazo horizontal y otro vertical, en forma de cruz.",1
见,見,jiàn,,,,1
六,六,liù,seis,"Entre mis dos CHISTERAS y las cuatro PATAS de la silla que tengo en mi habitación, sumo SEIS.","Entre mis dos CHISTERAS y las cuatro PATAS de la silla que tengo en mi habitación, sumo SEIS.",1
问,問,wèn,,,,1
叫,叫,jiào,,,,1
回,回迴,huí,,,,1
正,正,zhèng,correcto,DETENERSE UNA o las veces necesarias a pensar es lo CORRECTO.,DETENERSE UNA o las veces necesarias a pensar es lo CORRECTO.,1
快,快,kuài,,,,1
住,住,zhù,,,,1
请,請,qǐng,,,,1
水,水,shuǐ,,,,1
东,東,dōng,,,,1
西,西,xī,,,,1
听,聽听,tīng,,,,1
老,老,lǎo,,,,1
机,機,jī,,,,1
电,電,diàn,,,,1
行,行,xíng,,,,1
朋,朋,péng,compañía,Estas dos LUNAS son COMPAÑERAS.,Estas dos LUNAS son COMPAÑERAS.,1
友,友,yǒu,amistad,"Aquella persona que está OTRA VEZ y otra vez A TU LADO, es una gran AMISTAD.","Aquella persona que está OTRA VEZ y otra vez A TU LADO, es una gran AMISTAD.",1
拿,拿,ná,,,,1
路,路,lù,,,,1
外,外,wài,,,,1
放,放,fàng,,,,1
学,學,xué,,,,1
校,校,xiào,,,,1
别,別彆,bié,separación,"Imagina un guerrero con toda su FUERZA, gritando desde su BOCA porque de su ESPADA está SEPARADO.","Imagina un guerrero EMPAQUETADO, gritando desde su BOCA porque de su ESPADA está SEPARADO.",1
站,站,zhàn,,,,1
准,準准,zhǔn,,,,1
备,備,bèi,,,,1
元,元,yuán,,,,1
进,進,jìn,,,,1
写,寫,xiě,,,,1
先,先,xiān,,,,1
您,您,nín,,,,1
女,女,nǚ,,,,1
生,生,shēng,,,,1
门,門,mén,,,,1
八,八,bā,ocho,"El carácter de OCHO está formado por una línea corta seguida por otra línea un poco más larga, inclinada hacia la primera pero sin llegar a tocarla.","El carácter de OCHO está formado por una línea corta seguida por otra línea un poco más larga, inclinada hacia la primera pero sin llegar a tocarla.",1
七,七,qī,siete,"A la hora de ir a pescar, no llevo UN sólo ANZUELO, sino que llevo SIETE.","A la hora de ir a pescar, no llevo UN sólo ANZUELO, sino que llevo SIETE.",1
送,送,sòng,,,,1
花,花,huā,,,,1
第,第,dì,,,,1
块,塊,kuài,,,,1
坐,坐,zuò,sentarse,SEGUIMOS esta TIERRA para SENTARNOS.,SEGUIMOS esta TIERRA para SENTARNOS.,1
影,影,yǐng,,,,1
昨,昨,zuó,,,,1
笑,笑,xiào,,,,1
介,介,jiè,,,,1
绍,紹,shào,,,,1
书,書,shū,,,,1
少,少,shǎo,,,,1
楼,樓,lóu,,,,1
医,醫,yī,,,,1
院,院,yuàn,,,,1
早,早,zǎo,,,,1
晚,晚,wǎn,,,,1
男,男,nán,,,,1
习,習,xí,,,,1
口,口,kǒu,boca,Pictograma de una BOCA.,Pictograma de una BOCA.,1
穿,穿,chuān,,,,1
午,午,wǔ,,,,1
认,認,rèn,,,,1
识,識,shí,,,,1
难,難,nán,,,,1
球,球,qiú,,,,1
九,九,jiǔ,nueve,"A la hora de ir a pescar, no llevo UN sólo ANZUELO y BASTÓN, llevo NUEVE.","A la hora de ir a pescar, no llevo UN sólo ANZUELO y BASTÓN, llevo NUEVE.",1
妈,媽,mā,,,,1
汽,汽,qì,,,,1
跑,跑,pǎo,,,,1
动,動,dòng,,,,1
儿,兒,ér,hijo,Pictograma de las piernas de un HIJO.,-,1
远,遠,yuǎn,,,,1
帮,幫,bāng,ayudar,Nuestra NACIÓN es como una TOALLA que nos AYUDA.,-,1
视,視,shì,,,,1
师,師,shī,,,,1
百,百,bǎi,cien,BLANCO se torna el cabello cuando tenemos no UNO sino CIEN años.,BLANCO se torna el cabello cuando tenemos no UNO sino CIEN años.,1
半,半,bàn,mitad,Con esta PEQUEÑA AGUJA se puede atravesar un pelo por la MITAD.,Con esta PEQUEÑA AGUJA se puede atravesar un pelo por la MITAD.,1
干,乾干幹,gàn,,,,1
体,體,tǐ,,,,1
喝,喝,hē,,,,1
网,網,wǎng,,,,1
字,字,zì,,,,1
杯,杯,bēi,vaso,Este ÁRBOL dice NO ante la idea de que lo transformen en un VASO.,Este ÁRBOL dice NO ante la idea de que lo transformen en un VASO.,1
飞,飛,fēi,,,,1
哪,哪,nǎ,,,,1
包,包,bāo,paquete,En invierno YO estoy EMPAQUETADO en un PAQUETE que es mi cama.,En invierno YO estoy EMPAQUETADO en un PAQUETE que es mi cama.,1
脑,腦,nǎo,,,,1
歌,歌,gē,canción,Todos BOSTEZAN cuando este HERMANO MAYOR CANTA.,Todos BOSTEZAN cuando este HERMANO MAYOR CANTA.,1
山,山,shān,montaña,Pictograma de una MONTAÑA.,Pictograma de una MONTAÑA.,1
热,熱,rè,,,,1
唱,唱,chàng,cantar,Parece que hay dos SOLES en el cielo cuando esta BOCA está CANTANDO sus hermosas melodías.,Parece que hay dos SOLES en el cielo cuando esta BOCA está CANTANDO sus hermosas melodías.,1
名,名,míng,,,,1
白,白,bái,blanco,Los rayos de SOL son como GOTITAS de luz BLANCA.,Los rayos de SOL son como GOTITAS de luz BLANCA.,1
病,病,bìng,enfermedad,Una ENFERMEDAD aunque sea de TERCERA CLASE no deja de ser una ENFERMEDAD al final.,Una ENFERMEDAD aunque sea de TERCERA CLASE no deja de ser una ENFERMEDAD al final.,1
票,票,piào,,,,1
睡,睡,shuì,,,,1
房,房,fáng,,,,1
明,明,míng,claro,"El SOL en el día, y la LUNA en la noche nos brindan CLARIDAD.","El SOL en el día, y la LUNA en la noche nos brindan CLARIDAD.",1
差,差,chà,diferencia,Es bien sabido que la TÉCNICA para obtener la lana de OVEJA entre un esquilador y otro puede presentar una gran DIFERENCIA.,Es bien sabido que la TÉCNICA para obtener la lana de OVEJA entre un esquilador y otro puede presentar una gran DIFERENCIA.,1
风,風,fēng,,,,1
马,馬,mǎ,,,,1
错,錯,cuò,,,,1
读,讀,dú,,,,1
答,答,dá,,,,1
兴,興,xīng,,,,1
试,試,shì,,,,1
爸,爸,bà,padre,DESEO que mi PADRE siempre sea un buen PADRE.,DESEO que mi PADRE siempre sea un buen PADRE.,1
教,教,jiào,,,,1
边,邊,biān,lado,En el CAMINO hay que tener FUERZA para llegar a este LADO.,-,1
谢,謝,xiè,,,,1
记,記,jì,,,,1
班,班,bān,clase,Con una ESPADA con dos JOYAS se practica en esta CLASE.,Con una ESPADA con dos JOYAS se practica en esta CLASE.,1
忙,忙,máng,ocupado,Todas las demás cosas FALLECEN cuando nuestro CORAZÓN está OCUPADO en algo.,Todas las demás cosas FALLECEN cuando nuestro CORAZÓN está OCUPADO en algo.,1
考,攷考,kǎo,,,,1
南,南,nán,,,,1
关,關,guān,,,,1
同,仝同,tóng,,,,1
衣,衣,yī,,,,1
服,服,fú,,,,1
北,北,běi,norte,Dos CUCHARAS llevamos al NORTE por si acaso.,Dos CUCHARAS llevamos al NORTE por si acaso.,1
菜,菜,cài,verdura,RECOLECTAMOS FLORES y VERDURAS para este banquete.,RECOLECTAMOS FLORES y VERDURAS para este banquete.,1
床,床,chuáng,cama,Este AMPLIO ÁRBOL lo convertimos en CAMA.,Este AMPLIO ÁRBOL lo convertimos en CAMA.,1
休,休,xiū,,,,1
息,息,xī,,,,1
冷,冷,lěng,,,,1
肉,肉,ròu,carne,Una PERSONA en su INTERIOR está hecha de CARNE.,Una PERSONA en su INTERIOR está hecha de CARNE.,1
零,零,líng,,,,1
坏,壞,huài,,,,1
树,樹,shù,,,,1
饭,飯,fàn,,,,1
忘,忘,wàng,,,,1
气,氣,qì,espíritu,Aquí estamos RECLINADOS en el SUELO con un ANZUELO imaginario tratando de capturar energía para nuestro ESPÍRITU.,-,1
右,右,yòu,,,,1
课,課,kè,,,,1
洗,洗,xǐ,,,,1
左,左,zuǒ,,,,1
累,纍累,lèi,,,,1
毛,毛,máo,,,,1
姐,姐,jiě,,,,1
雨,雨,yǔ,,,,1
旁,旁,páng,,,,1
京,京,jīng,capital,"En comparación con los ALTOS edificios, todas las personas se ven PEQUEÑAS en la CAPITAL.","En comparación con los ALTOS edificios, todas las personas se ven PEQUEÑAS en la CAPITAL.",1
页,頁,yè,,,,1
贵,貴,guì,,,,1
面,面麵,miàn,,,,1
哥,哥,gē,hermano mayor,Todo es POSIBLE y nuevamente POSIBLE para este HERMANO MAYOR.,Todo es POSIBLE y nuevamente POSIBLE para este HERMANO MAYOR.,1
茶,茶,chá,te,Estos ÁRBOLES con PARAGUAS son para proteger las FLORES del TÉ en esta plantación.,Estos ÁRBOLES con PARAGUAS son para proteger las FLORES del TÉ en esta plantación.,1
慢,慢,màn,,,,1
星,星,xīng,,,,1
期,期,qī,,,,1
场,場,chǎng,,,,1
妹,妹,mèi,,,,1
火,火,huǒ,,,,1
弟,弟,dì,,,,1
净,淨,jìng,,,,1
奶,奶嬭,nǎi,,,,1
饿,餓,è,,,,1
果,果,guǒ,,,,1
图,圖,tú,,,,1
店,店,diàn,tienda,Son AMPLIOS los estantes relacionados a la ADIVINACIÓN en esta TIENDA.,Son AMPLIOS los estantes relacionados a la ADIVINACIÓN en esta TIENDA.,1
爷,爺,yé,,,,1
牛,牛,niú,,,,1
商,商,shāng,,,,1
馆,館,guǎn,,,,1
文,文,wén,,,,1
桌,桌,zhuō,,,,1
鸡,雞,jī,,,,1
蛋,蛋,dàn,,,,1
玩,玩,wán,,,,1
系,系繫係,xì,,,,1
假,假,jiǎ,,,,1
语,語,yǔ,,,,1
汉,漢,hàn,,,,1
客,客,kè,invitado,"En esta hospitalaria CASA, CADA UNO de los INVITADOS es bienvenido.","En esta hospitalaria CASA, CADA UNO de los INVITADOS es bienvenido.",1
渴,渴,kě,,,,1
米,米,mǐ,arroz,Pictograma de unos granos de ARROZ.,Pictograma de unos granos de ARROZ.,1
条,條,tiáo,,,,1
为,為,wèi,,,,2
自,自,zì,,,,2
己,己,jǐ,yo,Pictograma que representa el YO.,Pictograma que representa el YO.,2
但,但,dàn,,,,2
可,可,kě,posible,"Imagina un tiburón que tiene CLAVOS en su BOCA, todo es POSIBLE para él.","Imagina un tiburón que tiene CLAVOS en su BOCA, todo es POSIBLE para él.",2
以,以,yǐ,,,,2
让,讓,ràng,,,,2
又,又,yòu,otra vez,"UNO o varios BRAZOS, OTRA VEZ nos ayudarán.","UNO o varios BRAZOS, OTRA VEZ nos ayudarán.",2
已,已,yǐ,,,,2
经,經,jīng,,,,2
因,因,yīn,,,,2
题,題,tí,,,,2
如,如,rú,,,,2
更,更,gèng,,,,2
它,它,tā,,,,2
只,隻秖只,zhǐ,,,,2
向,嚮向,xiàng,,,,2
该,該,gāi,,,,2
位,位,wèi,,,,2
才,纔才,cái,talento,Estos DEDOS poseen un gran TALENTO.,Estos DEDOS poseen un gran TALENTO.,2
当,噹當,dāng,,,,2
所,所,suǒ,,,,2
公,公,gōng,,,,2
司,司,sī,,,,2
万,萬,wàn,,,,2
像,像,xiàng,,,,2
活,活,huó,,,,2
发,髮發,fā,"cabello, salida",Con dos GOTAS de agua a nuestro AMIGO limpiamos el PELO.,"El mejor AMIGO de las mujeres es el PELO LARGO cuando se trata de CABELLO. Con nuestra ARMA que es un ARCO, en mano, dejamos PISADAS porque comenzamos la SALIDA.",2
应,應,yīng,,,,2
成,成,chéng,,,,2
直,直,zhí,,,,2
定,定,dìng,,,,2
带,帶,dài,,,,2
或,或,huò,o,"UNA LANZA, una BOCA, O algo más, no sabemos qué es más poderoso.","UNA LANZA, una BOCA, O algo más, no sabemos qué es más poderoso.",2
长,長,zhǎng,,,,2
而,而,ér,,,,2
且,且,qiě,,,,2
其,其,qí,,,,2
通,通,tōng,,,,2
必,必,bì,,,,2
须,鬚須,xū,,,,2
求,求,qiú,,,,2
虽,雖,suī,,,,2
然,然,rán,,,,2
啊,啊,a,,,,2
参,參,cān,,,,2
加,加,jiā,,,,2
件,件,jiàn,,,,2
情,情,qíng,,,,2
结,結,jié,,,,2
感,感,gǎn,,,,2
头,頭,tóu,,,,2
者,者,zhě,,,,2
全,全,quán,,,,2
入,入,rù,,,,2
安,安,ān,,,,2
够,夠,gòu,,,,2
信,信,xìn,,,,2
完,完,wán,,,,2
响,響,xiǎng,,,,2
原,原,yuán,,,,2
计,計,jì,,,,2
划,劃划,huà,,,,2
使,使,shǐ,,,,2
接,接,jiē,,,,2
受,受,shòu,,,,2
拉,拉,lā,tirar,PARADO con nuestras MANOS TIRAMOS esta puerta para abrirla.,PARADO con nuestras MANOS TIRAMOS esta puerta para abrirla.,2
周,周週,zhōu,,,,2
特,特,tè,,,,2
部,部,bù,,,,2
短,短,duǎn,,,,2
务,務,wù,,,,2
片,片,piàn,,,,2
钟,鐘鍾,zhōng,,,,2
表,表錶,biǎo,,,,2
示,示,shì,"mostrar, altar",Solamente DOS PEQUEÑAS cosas vamos a MOSTRAR como ofrenda cuando vamos al altar.,Solamente DOS PEQUEÑAS cosas vamos a MOSTRAR como ofrenda cuando vamos al altar.,2
卡,卡,kǎ,,,,2
刚,剛,gāng,,,,2
讲,講,jiǎng,,,,2
相,相,xiāng,,,,2
助,助,zhù,,,,2
努,努,nǔ,,,,2
力,力,lì,"fuerza, poder",Pictograma de un músculo y su FUERZA.,Pictograma de un músculo y su FUERZA.,2
心,心,xīn,,,,2
越,越,yuè,,,,2
主,主,zhǔ,,,,2
千,千,qiān,,,,2
段,段,duàn,,,,2
组,組,zǔ,,,,2
卖,賣,mài,,,,2
办,辦,bàn,,,,2
法,法,fǎ,,,,2
闻,聞,wén,,,,2
般,般,bān,,,,2
近,近,jìn,,,,2
变,變,biàn,,,,2
辆,輛,liàng,,,,2
克,克剋,kè,,,,2
庭,庭,tíng,patio,Este TRIBUNAL tiene un AMPLIO PATIO.,Este TRIBUNAL tiene un AMPLIO PATIO.,2
音,音,yīn,sonido,Esta persona está DE PIE todo el DÍA ejecutando los más diversos SONIDOS.,Esta persona está DE PIE todo el DÍA ejecutando los más diversos SONIDOS.,2
乐,樂,lè,,,,2
交,交,jiāo,,,,2
离,离離,lí,,,,2
套,套,tào,,,,2
改,改,gǎi,,,,2
许,許,xǔ,,,,2
份,份,fèn,,,,2
红,紅,hóng,,,,2
低,低,dī,,,,2
队,隊,duì,,,,2
育,育,yù,,,,2
数,數,shù,,,,2
座,座,zuò,sentarse,"A la hora de SENTARSE, un lugar AMPLIO es el mejor lugar para SENTARSE.","A la hora de SENTARSE, un lugar AMPLIO es el mejor lugar para SENTARSE.",2
市,市,shì,,,,2
换,換,huàn,,,,2
银,銀,yín,,,,2
句,句,jù,frase,Las palabras EMPAQUETADAS que salen de la BOCA son una FRASE.,Las palabras EMPAQUETADAS que salen de la BOCA son una FRASE.,2
际,際,jì,,,,2
靠,靠,kào,,,,2
称,稱,chēng,,,,2
选,選,xuǎn,,,,2
提,提,tí,,,,2
末,末,mò,,,,2
检,檢,jiǎn,,,,2
查,查,chá,,,,2
故,故,gù,,,,2
脸,臉,liǎn,,,,2
往,往,wǎng,,,,2
掉,掉,diào,,,,2
黑,黑,hēi,,,,2
度,度,dù,grado,OTRA VEZ por un AMPLIO periodo VEINTE GRADOS.,OTRA VEZ por un AMPLIO periodo VEINTE GRADOS.,2
收,收,shōu,,,,2
省,省,shěng,,,,2
海,海,hǎi,,,,2
愿,愿願,yuàn,,,,2
意,意,yì,,,,2
实,實,shí,,,,2
超,超,chāo,,,,2
健,健,jiàn,,,,2
康,康,kāng,sano,Este ESCLAVO está AMPLIAMENTE SANO.,Este ESCLAVO está AMPLIAMENTE SANO.,2
眼,眼,yǎn,,,,2
清,清,qīng,,,,2
楚,楚,chǔ,,,,2
倒,倒,dào,,,,2
装,裝,zhuāng,,,,2
停,停,tíng,,,,2
亿,億,yì,,,,2
留,留,liú,,,,2
算,算,suàn,,,,2
声,聲,shēng,,,,2
照,照,zhào,,,,2
广,广廣,guǎng,amplio,Una GOTA es muy pequeña para un PRECIPICIO tan AMPLIO.,Una GOTA es muy pequeña para un PRECIPICIO tan AMPLIO.,2
永,永,yǒng,,,,2
层,層,céng,,,,2
平,平,píng,,,,2
药,葯藥,yào,,,,2
级,級,jí,,,,2
狗,狗,gǒu,,,,2
节,節,jié,,,,2
目,目,mù,ojo,Pictograma de un OJO.,Pictograma de un OJO.,2
睛,睛,jīng,,,,2
满,滿,mǎn,,,,2
酒,酒,jiǔ,,,,2
迎,迎,yíng,,,,2
举,舉,jǔ,,,,2
科,科,kē,,,,2
占,占,zhàn,adivinación,"Primero usará la VARITA MÁGICA, y a continuación la BOCA del adivino expresará su ADIVINACIÓN.","Primero usará la VARITA MÁGICA, y a continuación la BOCA del adivino expresará su ADIVINACIÓN.",2
排,排,pái,,,,2
轻,輕,qīng,,,,2
讨,討,tǎo,,,,2
论,論,lùn,,,,2
挺,挺,tǐng,,,,2
由,由,yóu,,,,2
运,運,yùn,,,,2
怕,怕,pà,,,,2
脚,腳,jiǎo,,,,2
普,普,pǔ,,,,2
取,取,qǔ,,,,2
笔,筆,bǐ,,,,2
油,油,yóu,aceite,El AGUA que sale de este BROTE es el ACEITE de la planta.,El AGUA que sale de este BROTE es el ACEITE de la planta.,2
漂,漂,piāo,,,,2
亮,亮,liàng,,,,2
夜,夜,yè,,,,2
画,畫,huà,,,,2
室,室,shì,,,,2
哭,哭,kū,,,,2
惯,慣,guàn,,,,2
单,單,dān,,,,2
绩,績,jì,,,,2
推,推,tuī,,,,2
流,流,liú,,,,2
懂,懂,dǒng,,,,2
街,街,jiē,,,,2
鱼,魚,yú,,,,2
量,量,liàng,,,,2
态,態,tài,,,,2
猫,貓,māo,,,,2
确,確,què,,,,2
蓝,藍,lán,,,,2
思,思,sī,,,,2
篇,篇,piān,,,,2
封,封,fēng,,,,2
黄,黃,huáng,,,,2
旅,旅,lǚ,,,,2
游,游遊,yóu,,,,2
弄,弄,nòng,,,,2
嘴,嘴,zuǐ,,,,2
船,船,chuán,,,,2
腿,骽腿,tuǐ,,,,2
借,借,jiè,,,,2
顺,順,shùn,,,,2
利,利,lì,,,,2
言,言,yán,,,,2
物,物,wù,,,,2
英,英,yīng,,,,2
纸,紙,zhǐ,,,,2
背,背,bèi,,,,2
雪,雪,xuě,,,,2
便,便,biàn,,,,2
遍,遍,biàn,,,,2
词,詞,cí,,,,2
理,理,lǐ,,,,2
角,角,jiǎo,,,,2
养,養,yǎng,,,,2
鞋,鞋,xié,,,,2
急,急,jí,,,,2
瓶,瓶,píng,botella,Con esta FILA de TEJAS hacemos una BOTELLA.,Con esta FILA de TEJAS hacemos una BOTELLA.,2
观,觀,guān,,,,2
鸟,鳥,niǎo,,,,2
墙,牆,qiáng,,,,2
颜,顏顔,yán,,,,2
色,色,sè,,,,2
阳,陽,yáng,,,,2
顾,顧,gù,,,,2
咱,咱,zán,,,,2
河,河,hé,,,,2
报,報,bào,,,,2
味,味,wèi,,,,2
租,租,zū,,,,2
喊,喊,hǎn,,,,2
灯,燈,dēng,,,,2
空,空,kōng,,,,2
青,青,qīng,,,,2
吹,吹,chuī,,,,2
园,園,yuán,,,,2
绿,綠,lǜ,,,,2
练,練,liàn,,,,2
食,食,shí,,,,2
合,合,hé,,,,2
适,適,shì,,,,2
骑,騎,qí,,,,2
